 news.128.t:0 "La caída de Berlín"
 usa.24.a:0 "Vuelta a la democracia."
 usa.24.b:0 "Fidelidad al comunismo."
 britain.11.t:0 "El eje Berlín-Moscú"
 britain.11.d:0 "Una alianza militar entre alemanes y soviéticos tiene potencial para derrocar el orden mundial y lograr una nueva era del totalitarismo. Para contrarrestar este desarrollo debemos unir a las naciones democráticas del mundo en una gran alianza para luchar contra la amenaza nazicomunista."
 britain.11.a:0 "¡Agrupémonos por la democracia.!"
 britain.11.b:0 "No hay necesidad de reaccionar de forma exagerada"
 britain.12.t:0 "La Gran Alianza"
 britain.12.d:0 "Gran Bretaña nos invita a unirse a su facción para luchar contra la amenaza nazicomunista. ¿Cómo debemos responder?"
 britain.12.a:0 "Sí"
 britain.12.b:0 "No"
 britain.13.t:0 "Francia quiere unirse a los aliados"
 britain.13.d:0 "El mundo se está volviendo cada vez más inseguro. Gran Bretaña y Francia siguen siendo bastiones de la democracia y libertad en Europa y Francia nos propone ahora que nos unamos a los Aliados.\n¿Cómo debemos responder?"
 britain.13.a:0 "Sí"
 britain.13.b:0 "No"
 poland.1.t:0 "Expansión hacia el este"
 poland.1.d:0 "Después de haber sido obligados a ceder Gdansk a los alemanes, estamos encerrados ahora en un torno entre dos imperios que amenazan nuestra soberanía. Como estamos perdiendo territorio en el oeste, y no podemos confiar en los aliados para protegernos de la agresión alemana, podríamos considerar alinearnos con las ambiciones alemanas y recuperar partes de nuestra vieja Mancomunidad ahora absorbidas por al Unión Soviética. Seremos presa fácil si permanecemos neutrales y hemos luchado muy duro para ver otro reparto de Polonia."
 poland.1.a:0 "Es hora de convertir el Eje de amenaza a aliado."
 poland.1.b:0 "Es preferible trabajar diplomáticamente con la Unión Soviética."
 poland.2.t:0 "La Unión soviética exige el Este"
 poland.2.d:0 "Después de haber reafirmado sus pretensiones sobre los territorios del Este, la Unión Soviética ha ahora nos presiona para que les cedamos estas tierras, sugiriendo que es la única manera de evitar otra invasión y posible anexión o reparto.\n\nNormalmente, no habría ni que plantearse ceder ante tales amenazas, pero la Unión Soviética está lejos de ser nuestra única preocupación. Si aceptamos sus demandas, podemos tener menos de lo que preocuparnos en el frente oriental, aunque pondríamos el frente oriental  más significativamente hacia el oeste."
 poland.2.a:0 "Renunciar al  Este pacíficamente."
 poland.2.b:0 "¡Polonia no se rendirá sin luchar!"
 poland.3.t:0 "Polonia cede el Este"
 poland.3.d:0 "Después de presionar a Polonia para que cediese nuestra legítimas reclamaciones en sus territorios orientales, han aceptado ceder lo que exigimos sin mayor conflicto. Sin embargo, probablemente podemos abandonar cualquier esperanza de formar un vínculo más fuerte con esta nación en el futuro. Tras habernos dado nuestra parte, parecen esperar tener con nosotros el menor contacto posible."
 poland.3.a:0 "Mientras reconozcan nuestra reclamación, no hay problema."
 poland.4.t:0 "Polonia se niega a ceder el Este"
 poland.4.d:0 "A pesar de nuestros esfuerzos para resolver pacíficamente la disputa con Polonia, se han negado a ceder sus territorios orientales y nos obligan a una posición donde la única opción para reclamarlos es mediante la guerra. Claramente, este país problemático no es capaz de evitar un reparto ni cuando se les da la oportunidad."
 poland.4.a:0 "¿Creen que pueden resistir contra nosotros?"
 poland.5.t:0 "Unión Soviética ofrece protección"
 poland.5.d:0 "Después de la Unión Soviética reclamase sus derechos sobre la Polonia oriental, asumimos que otro ataque es inminente. Sin embargo, una reciente oferta de los soviéticos indica lo contrario. Al parecer, siempre que cedamos el territorio reclamado, están dispuestos a dejar que nos unamos a ellos en una alianza. Además, prometen que en el caso de una guerra con Alemania, seremos compensados por la pérdidas concediéndonos nuevas tierras al oeste.\n\nMientras que esto puede una oferta mejor de la que esperábamos, no podemos saber si esta supuesta guerra futura llegará a ocurrir. Quizás la Unión Soviética sólo está buscando conseguir tierra rápidamente y obligarnos a entrar en su esfera de influencia. Sin embargo, puede ser la mejor protección con la que podemos contar."
 poland.5.a:0 "Tenemos que aceptar ahora, antes de que sea demasiado tarde."
 poland.5.b:0 "¡Polonia todavía no está perdida!"
 poland.6.t:0 "Polonia acepta protección"
 poland.6.d:0 "El ofrecimiento de poner Polonia bajo nuestro manto y dirigirlos a una futura conquista en el Oeste a cambio de territorio en el Este resultó ser un método exitoso. Tras prometerles un trozo de Alemania en caso de una guerra exitosa y nuestra protección, acordaron ceder sus territorios orientales pacíficamente."
 poland.7.t:0 "Polonia rechaza protección"
 poland.7.d:0 "A pesar de hacer la oferta más generosa posible, intentando un acuerdo por el cual Polonia cedería su territorio oriental a cambio de la promesa de una futura porción de Alemania, [From.GetLeader] ha rechazado nuestros esfuerzos diplomáticos. Polonia ha elegido el camino difícil para nosotros, pero incluso más para ellos."
 poland.7.a:0 "Lo que no se puede comprar, se tendrá que tomar."
 poland.8.t:0 "Se concede Alemania oriental a Polonia."
 poland.8.d:0 "Según lo acordado previamente, tras la anexión de territorios de Alemania oriental por la Unión Soviética, algunos de estos pasarán al control Polaco como recompensa a la pasada transferencia de Polonia oriental a la Unión Soviética."
 poland.8.a:0 "Un cambio hacia el oeste fue lo mejor que podríamos esperar, dadas las circunstancias."
 poland.9.a:0 "La situación parece resuelta a nuestra mutua satisfacción."
 greece.1.t:0 "Ultimátum soviético"
 greece.1.d:0 "Los soviéticos nos presionan para ceder territorio. Nos amenazan con una guerra total en caso de no ceder. Ceder podría salvar las vidas de muchos soldados griegos, ¿pero sería esta la última vez que nos pidiesen territorio?"
 greece.1.a:0 "Evitar la guerra es lo mejor para Grecia"
 greece.1.b:0 "No les des nada."
 election.1.d:0 ""
 election.1.a:0 ""
 election.16.t:0 "[Root.GetLeader] Disfruta del apoyo público."
 election.16.d:0 "Con la elección actual, la oposición, en la medida que existe, ha criticado el mandato cada vez más autoritario de [Root.GetRulingParty]. Se preguntan si el electorado tiene poder alguno, o si es pura apariencia.\n\nSin embargo, el apoyo a [Root.GetLeader] parece que sigue siendo alto, y aunque las circunstancias de las elecciones son cuestionadas por la comunidad internacional, no lo están a nivel nacional. Parece que aunque [Root.GetName] ya no es gobernado por el pueblo, éste apoya a su gobernante...  al menos el que llegó a las urnas."
 election.16.a:0 "Un pueblo, un líder."
 election.17.t:0 "Resultados de las elecciones cuestionados"
 election.17.d:1 "Aunque el régimen [Root.GetLeader] ha obligado a la mayor parte de sus opositores a permanecer en silencio, algunos han hablado sobre las reciente elecciones, acusando a [Root.GetRulingParty] de pucherazo y de hacer caso omiso de los claros esfuerzos para elegir un Parlamento opuesto a sus políticas.\n\nDespués de haber prometido poner la fuerza de la nación por encima de todo tipo de inquietudes, el gobierno desprecia estas objeciones como un intento de dividir al pueblo contra sí mismo. Sin embargo, permanece el hecho de que parece que la mayoría del pueblo tiene sus reservas sobre su gobierno, y la oposición, aunque silenciada de momento, lo ha dejado claro."
 election.17.a:0 "¡Disidentes!"
 political.19.t:0 "Los comunistas exigen referéndum"
 political.27.t:0 "[Root.GetLeader] abandona la Política Exterior Neutral"
 political.27.d_fascism:1 "Después del reciente ascenso al poder de [Root.GetRulingParty], [Root.GetLeader] anunció que [Root.GetName] ya no mantendría su política Neutral.\n\\'El mundo se ha vuelto enredado y complejo. Este país siempre se mantenido firme a sus principios y dispuesto a defenderlos. Ya no estamos seguros por nuestra propias fuerzas. La neutralidad no es el refugio seguro de antes y los que buscan poder en este mundo no la respetan. Debemos permanecer al lado de nuestros socios fascistas contra los poderes que pretenden frenar a nuestra nación. Frente a un mundo al que nada le gustaría más que aplastarnos. Si no adoptamos una posición, pereceremos solos.\\'"
 political.27.d_communism:0 "Después del reciente ascenso al poder de [Root.GetRulingParty],[Root.GetLeader] anunció que [Root.GetName] ya no mantendría su política Neutral.\n\\'Este país siempre se mantenido firme a sus principios y dispuesto a defenderlos. Ya no estamos seguros por nuestra propias fuerzas. La neutralidad no es el refugio seguro de antes y los que buscan poder en este mundo no la respetan. Debemos permanecer al lado de nuestros hermanos comunistas contra los poderes que procuran oprimirnos. Contra la mayoría burguesa a la que nada le gustaría más que aplastarnos. Si no adoptamos una posición, pereceremos solos.\\'"
 political.27.a:0 "Para el futuro de [Root.GetName]"
 yugoslavia.3.t:0 "Conferencia de Londres"
 yugoslavia.3.d:0 "La esperanza que no afrontaríamos solos las amenazas alemanas se ha cumplido. El poder del Imperio británico y sus aliados está con nosotros."
 yugoslavia.3.d_FRA_abandoned_yugoslavia:0 "La esperanza que no afrontaríamos solos las amenazas alemanas se ha cumplido. El poder del Imperio británico y sus aliados está con nosotros. Por desgracia, Francia ha elegido el camino de la cobardía."
 yugoslavia.3.a:0 "Yugoslavia permanecerá libre"
 yugoslavia.4.d:0 "La esperanza que no afrontaríamos solos las amenazas alemanas se ha cumplido. Aunque el poder menguante del Imperio británico no esté con nosotros, el poderoso imperio francés estará a nuestro lado."
 yugoslavia.4.a:0 "¡Triunfaremos!"
 yugoslavia.5.t:0 "¡El dictado de Londres!"
 yugoslavia.5.d:0 "Frente a una renaciente Alemania que rompe los tratados que mantuvieron la paz, los cobardes occidentales nos echan a los lobos con la esperanza que apaciguaremos su hambre. La historia los juzgará con poca amabilidad, pero ahora debemos elegir nuestro destino."
 yugoslavia.5.a:0 "La resistencia sólo llevará a muertes inútiles"
 yugoslavia.5.b:0 "Lucharemos hasta el último hombre"
 yugoslavia.6.t:0 "Conferencia de Londres"
 yugoslavia.6.d:0 "Cuando todos los demás nos han abandonado sólo Italia permanece a nuestro lado. Este es ahora nuestro amigo más verdadero y lucharemos juntos."
 yugoslavia.6.a:0 "Que Dios nos ayude"
 germany.93.t:0 "Conferencia de Londres"
 germany.93.d:0 "Esperábamos que las grandes potencias de Europa se sentaran a la mesa y llegaran a un acuerdo equitativo en nombre de la paz. En cambio, británicos y franceses han decidido apoyar a los advenedizos yugoslavos y su estado artificial. Eslovenia será nuestra de un modo u otro..."
 germany.93.d_FRA_abandoned_yugoslavia:0 "Esperábamos que las grandes potencias de Europa se sentaran a la mesa y llegaran a un acuerdo equitativo en nombre de la paz. Si bien es cierto que Francia vio la justicia de nuestra causa, los estúpidos británicos han decidido apoyar a los advenedizos yugoslavos y su estado artificial. Eslovenia será nuestra de un modo u otro..."
 germany.93.a:0 "No nos negarán"
 germany.94.t:0 "La rendición de Londres"
 germany.94.d:0 "En otro triunfo de la audacia y la acción, Eslovenia, pronto rebautizada como Carniola, ha sido devuelta a su legítimo hogar en el Reich alemán..."
 germany.94.a:0 "¡Un triunfo para Alemania!"
 germany.95.t:0 "Los yugoslavos se niegan"
 germany.95.d:0 "Con un falso sentido de su lugar en el mundo los yugoslavos han elegido no aceptar la oportunidad de que les hemos ofrecido."
 germany.95.a:0 "Tiempo de darles una tarea"
 germany.96.t:0 "Conferencia de Londres"
 germany.96.d:0 "Los yugoslavos, azuzados por los estúpidos italianos, han decidido desafiarnos. Los desagradecidos italianos arderán con los yugoslavos. El general Rommel nos asegura que corrieron la última vez, y no hay duda de que volverán a correr."
 germany.96.a:0 "Esta guerra no durará mucho tiempo"
 germany.97.t:0 "Conferencia de Londres"
 germany.97.d:0 "Se suponía que la gran conferencia de Londres iba a corregir uno de los muchos males que se han realizado a Alemania. Pero los franceses siguieron con su ansia de venganza y sólo desean que ver a Alemania de rodillas. Apoyaron al régimen de Belgrado a pesar de la justicia de su causa. ¿De verdad creen que sus amenazas vacías significan algo para nosotros?"
 germany.97.a:0 "Les aplastaremos a ambos."
 germany.98.t:0 "El destino de Yugoslavia"
 germany.98.d:0 "Siempre supimos que el estado yugoslavo surgido del imperio de los Habsburgo era un país artificial condenado a desaparecer. Las tensiones étnicas latentes bajo la superficie han alcanzado un punto crítico, y el estado se desmorona. Debemos intervenir para rectificar esta situación."
 germany.98.a:0 "Anexiona toda Yugoslavia."
 germany.98.b:0 "Crea un títere croata. Anexiónate el resto."
 germany.98.c:0 "Crea títeres tanto de Croacia como de Yugoslavia."
 germany.99.t:0 "Reparte Grecia"
 germany.99.d:0 "Cuando sugerimos que tal vez se deberían reajustar las fronteras griegas, el embajador italiano tronó que reconstruirían el Imperio romano de las cenizas de Grecia."
 germany.99.a:0 "Claro que lo harán."
 germany.99.b:0 "Que se queden con que los trenes son puntuales"
 germany.100.t:0 "Reparte Grecia"
 germany.100.d:0 "Bulgaria ha visto cómo territorio que consideraba suyo fue entregado a Grecia después de la Segunda Guerra Balcánica y la Guerra Mundial y si corrigiésemos este mal, los uniríamos a nosotros. Sin embargo, si no son suficientemente fuertes para reclamarlo por sí solos, ¿serán aliados dignos de nosotros?"
 germany.100.a:0 "Unamos Bulgaria a nosotros"
 germany.100.b:0 "Tienen que ganarse nuestra amistad"
 germany.101.t:0 "Reparte Grecia"
 germany.101.d:0 "La falta de aliados adecuados deja Alemania en una desafortunada posición estratégica en el Mediterráneo oriental. Sin embargo podemos remediarlo exigiendo a Grecia bases y territorio alrededor de él para que estén seguras."
 germany.101.a:0 "Deben entregar bases a Alemania"
 germany.101.b:0 "Deberíamos jugar a largo plazo."
 germany.101_tt:0 "§YSi Grecia acepta, sucederá lo siguiente:§!"
 germany.102.t:0 "Grecia se niega"
 germany.102.d:0 "Grecia ha rechazado tontamente nuestra ayuda en la solución de sus disputas fronterizas."
 germany.102.a:0 "Deberían haber visto cuál es la alternativa"
 germany.103.t:0 "Grecia se niega"
 germany.103.d:0 "Grecia ha negado nuestra generosa oferta de protección y asistencia"
 germany.103.a:0 "Debemos obligarlos a ver la razón"
 germany.104.t:0 "Italia exige territorio a Vichy"
 germany.104.d_Savoy:0 "Los italianos han empezado a hacer exigencias a Vichy Francia siguiendo a nuestra victoria. Buscan la zona fronteriza a Saboya para fortalecer a Italia. Sin embargo, somos nosotros los que decidiremos."
 germany.104.d_Corsica:0 "Los italianos reclaman la isla de Córcega a Vichy como su parte del botín. ¿Se la podríamos conceder?"
 germany.104.d_Savoy_Corsica:0 "Italia ha pedido que Vichy entregue Saboya y Córcega. Sería una bendición para Italia pero preocupará a las autoridades coloniales francesas."
 germany.104.a:0 "Supongo que se pueden quedar con Saboya"
 germany.104.b:0 "Córcega es todo lo que merecen"
 germany.104.c:0 "Dejémosles tener Saboya"
 germany.104.e:0 "Un fuerte aliado lleva a una Alemania fuerte"
 germany.104.f:0 "Necesitan más que unos millares de muertos"
 germany.105.t:0 "Italia deja [Root.GetFactionName]"
 germany.105.d:0 "Después de nuestra decisión de no entregar ningún territorio a Italia, han decidido dejar [Root.GetFactionName] diciendo que no somos aliados dignos de ellos."
 germany.105.a:0 "Tampoco es que lucharan mucho, de todos modos."
 germany.106.t:0 "Tratado de Craiova"
 germany.106_threat:0 "Tratado de Craiova"
 germany.106.d_second_vienna_accepted_north:0 "Ahora que Hungría ha ganado el norte de Transilvania, Bulgaria nos ha recordado su disputa fronteriza de hace mucho tiempo con Rumania. Dobrudja del sur, ocupada por Rumania en 1913."
 germany.106.d_second_vienna_accepted_all:0 "Ahora que Hungría ha ganado toda Transilvania,  Bulgaria nos ha recordado su disputa fronteriza de hace mucho tiempo con Rumania. Dobrudja del sur, ocupada por Rumania en 1913."
 germany.106.d_no_vienna:0 "Desde que se enfrió nuestra relación con Hungría, hasta que eligieron unirse a otra alianza, ni hablar de nuestro plan original de darles una parte de Transilvania. En cambio, deberíamos prestar atención a la disputa territorial búlgara por Dobrudja del sur, ocupada por Rumania en 1913."
 germany.106.a:0 "Que exijan Dobrudja del sur"
 germany.106.b:0 "No apoyaremos ninguna exigencia búlgara"
 germany.107.t:0 "El vuelo de Rudolf Hess"
 germany.107.d:0 "El viceführer Rudolf Hess fue detenido por soldados de la Guardia Nacional en Escocia ayer tras lanzarse en paracaídas desde un caza pesado. Piloto consumado, al parecer atravesó volando el Mar del Norte, procurando mantenerse fuera del alcance del radar antes de virar oeste hacia Gran Bretaña.\n\nHess parece haberse impuesto la tarea de negociar un Tratado de paz entre Gran Bretaña y Alemania, aunque Berlín lo ha calificado de loco y ha sido despojado de todos sus cargos políticos. No se han podido obtener comentarios de las autoridades británicas."
 germany.107.a:0 "Wahnsinn! (¡Locura!)"
 germany.108.t:0 "La muerte de Rudolf Hess"
 germany.108.d:0 "El viceführer Rudolf Hess murió ayer cuando la Royal Air Force interceptó el caza en el que volaba frente a las costas de Escocia. La naturaleza exacta de su misión permanece confusa - aunque Hess fuera un piloto consumado, voló solo y parece que su avión no iba armado.\n\nSus restos mortales fueron recuperados por las autoridades británicas, pero se ha planeado un funeral de estado con un ataúd vacío en Berlín. Se ha informado que Hitler estaba visiblemente consternado por la muerte de su viejo amigo."
 germany.108.a:0 "Ese pobre tonto."
 germany.109.d:0 "El dirigible Hindenburg, que había estado amarrado en Alemania desde el comienzo de las hostilidades, encontró un final dramático hoy cuando explotó sobre Escocia. Parece que fue requisado por el viceführer Rudolf Hess, que logró a volar solo sobre el Mar del Norte en una misión personal para negociar la paz con Gran Bretaña.\n\nLas estaciones de radar británicas no tuvieron problemas para detectar el masivo aparato y varias alas de la RAF se dirigieron inmediatamente hacia su posición. Cuando el Hindenburg no respondió por radio abrieron fuego. Hess saltó en paracaídas para salvarse y ahora se encuentra encarcelado en la Torre de Londres."
 germany.110.d:0 "El dirigible Hindenburg, que había estado amarrado en Alemania desde el comienzo de las hostilidades, encontró un final dramático hoy cuando explotó sobre Escocia. Parece que fue requisado por el viceführer Rudolf Hess, que logró volar solo sobre el Mar del Norte en una misión personal para negociar la paz con Gran Bretaña.\n\nLas estaciones de radar británicas no tuvieron problemas para detectar el masivo aparato y varias alas de la RAF se dirigieron inmediatamente hacia su posición. Cuando el Hindenburg no respondió por radio, abrieron fuego. Los restos mortales de Hess fueron recuperados de los restos."
 germany.110.a:0 "Ese loco..."
 britain.14.t:0 "Conferencia de Londres"
 britain.14.d:0 "El gobierno alemán ha comenzado a agitarse por el estado de Eslovenia, que reclaman es la histórica provincia alemana de Carniola, afirmando que alemanes y eslovenos son oprimidos por el gobierno yugoslavo. El gobierno de Su Majestad ha invitado a los gobiernos de Francia, Alemania e Italia a una conferencia en Londres para buscar una solución justa sobre este tema. No cabe duda de que la pequeña minoría alemana desea unirse a Alemania, pero los deseos de la población eslovena están menos claros. Alemania parece dispuesta a soltar los perros de la guerra por esto y nubes oscuras de la guerra se reúnen de nuevo sobre el continente europeo."
 britain.14.a:0 "Debemos buscar una paz duradera"
 britain.14.b:0 "La historia no nos perdonaría"
 britain.15.t:0 "Francia nos abandona"
 britain.15.d:0 "El gobierno de Francia no ha conseguido ver la lógica del modesto reajuste fronterizo que proponíamos y está resuelto a romper la paz y librar una guerra terrible. Dejaremos que agoten en otra ronda de inútil guerra de trincheras y luego nos rogarán ayuda."
 britain.15.a:0 "Aprenderán cuál es su lugar."
 britain.16.t:0 "El rey Jorge V muere"
 britain.16.d:0 "Su majestad Jorge V, rey de Reino Unido y los dominios británicos y emperador de la India ha fallecido. Con calma silenciosa y devoción a sus súbditos, ayudó a que el Imperio superase la Gran Guerra y la Gran Depresión. Su hijo asumirá el manto como Eduardo VIII, pero ya hay preocupaciones que tendrá un pensamiento demasiado independiente. Stanley Baldwin y Neville Chamberlain se preparan para garantizar que acepte la dirección del Primer ministro y el gabinete."
 britain.16.a:0 "Que en paz descanse"
 britain.17.t:0 "El rey Eduardo abdica"
 britain.17.d:0 "El Primer ministro Baldwin ha dejado muy claro que la dignidad del rey-emperador se verá afectada, si se casa no solo con una plebeya, sino también divorciada y si por si eso no fuera poco, también estadounidense. Después de mucha reflexión, Su Majestad ha elegido el amor al deber y por esto ha elegido abdicar. Su hermano pequeño, Alberto, asumirá el manto como Jorge VI. Las casas de apuestas de Londres ya están aceptando apuestas de si  este hombre tímido llegará a su propia coronación."
 britain.17.a:0 "Dios salve al rey Jorge VI"
 poland.6.a:0 "Un aliado contra Alemania es más preferible que otra partición."
 greece.2.t:0 "Segundo arbitraje de Liubliana"
 greece.2.d_GER_demand:0 "Alemania está tratando de intimidar a Grecia para que entregue territorio para \\'bases\\'"
 greece.2.d_ITA:0 "Los alemanes buscan tierras para sus amigos italianos a nuestra costa."
 greece.2.d_BUL:0 "Los alemanes exigen que entreguemos tierras a sus lacayos búlgaros."
 greece.2.d_ITA_BUL:0 "Los alemanes están impulsando las exigencias de Italia y Bulgaria sobre nuestro territorio"
 greece.2.a:0 "No nos podemos resistir a ellos"
 greece.2.b:0 "No nos rendiremos"
 greece.3.t:0 "Destino de Grecia"
 greece.3.d:0 "Alemania ha pedido que aceptemos una \\'coordinación \\' con ellos. Esto efectivamente nos convertiría en un títere de Alemania."
 greece.3.a:0 "Aceptar lo inevitable"
 greece.3.b:0 "Rechazar"
 greece.4.t:0 "Guerra contra Turquía"
 greece.4.d:0 "Nuestros amigos italianos planean actuar contra Turquía. Es la oportunidad perfecta para que nos aseguraremos nuestra posición en el Mar Egeo. Tomemos Esmirna y ayudemos a los italianos a echar a los turcos de Europa."
 greece.4.a:0 "Esmirna será nuestra"
 country_capitulated.0.t:0 "[Root.GetName] ha capitulado. "
 country_capitulated.0.d_positive_both_no_faction:0 "[From.From.GetLeader] ha anunciado que la cobarde nación [Root.GetAdjective] ya no podía soportar la presión de la presencia abrumadora de las fuerzas [From.From.GetAdjective] en todo el país. El gobierno [Root.GetAdjective] decidió huir del país y se ha exiliado. Sus principales fuerzas han capitulado, y [From.From.GetName] ahora controla su área principal.\nAunque la guerra continúa en otras partes, esta es una gran victoria para [From.From.GetName]."
 country_capitulated.0.d_positive_prev_no_faction:0 "[From.From.GetLeader] ha anunciado que la cobarde nación [Root.GetAdjective] ya no podía soportar la presión de la presencia abrumadora de las fuerzas [From.From.GetAdjective] en todo el país. El gobierno [Root.GetAdjective] decidió huir del país y se ha exiliado. Sus principales fuerzas han capitulado, y [From.From.GetName] ahora controla su área principal.\nAunque la guerra continúa en otras partes, esta es una gran victoria para [From.From.GetName]."
 country_capitulated.0.d_positive_prev_faction:0 "[From.From.GetLeader] ha anunciado que la cobarde nación [Root.GetAdjective] ya no podía soportar la presión de la presencia abrumadora de las fuerzas [From.From.GetAdjective] en todo el país. El gobierno [Root.GetAdjective] decidió huir del país y se ha exiliado. Sus principales fuerzas han capitulado, y [From.From.GetName] ahora controla su área principal.\n"
 country_capitulated.0.d_negative_both_no_faction:0 "[Root.GetLeader] ha anunciado que la nación [Root.GetAdjective] ya no podía soportar la presión de la presencia abrumadora de las fuerzas [From.From.GetAdjective] en todo el país. El gobierno [Root.GetAdjective] decidió huir del país y se ha exiliado. Sus principales fuerzas han capitulado, y [From.From.GetName] ahora controla su área principal.\nA pesar de esta pérdida devastadora, la guerra contra [From.From.GetName] está lejos de terminar."
 country_capitulated.0.d_negative_prev_no_faction:0 "[Root.GetLeader] ha anunciado que la nación [Root.GetAdjective] ya no podía soportar la presión de la fuerzas de ocupación [From.From.GetAdjective] cometiendo desmanes por todo el país. El gobierno [Root.GetAdjective] se ha exiliado. Sus principales fuerzas han capitulado, y [From.From.GetName] ahora controla su área principal.\nAunque la guerra contra [From.From.GetName] continúa, esto es un retroceso lamentable para todos los [Root.GetFactionName]."
 country_capitulated.0.d_negative_prev_faction:0 "[Root.GetLeader] ha anunciado que la nación [Root.GetAdjective] ya no podía soportar la presión de la fuerzas de ocupación [From.From.GetAdjective] cometiendo desmanes por todo el país. El gobierno [Root.GetAdjective] se ha exiliado. Sus principales fuerzas han capitulado, y [From.From.GetName] ahora controla su área principal.\nAunque la guerra contra [From.From.GetName] y el resto de [From.From.GetFactionName] continúa, este es un desgraciado revés para todos los [Root.GetFactionName]."
 country_capitulated.0.d_neutral_both_no_faction:0 "El gobierno [Root.GetAdjective] se ha exiliado y sus principales fuerzas han capitulado ante [From.From.GetName], que está ahora en control de su área principal.\nAunque la lucha entre [From.From.GetName] y [Root.GetName], [From.From.GetName] aún sigue en guerra, y la lucha continúa en otro lugar."
 country_capitulated.0.d_neutral_prev_no_faction:0 "El gobierno [Root.GetAdjective] se ha exiliado y sus principales fuerzas han capitulado ante [From.From.GetName], que está ahora en control de su área principal.\nLa lucha en [Root.GetName] sólo era una pequeña parte del conflicto. La guerra entre [From.From.GetName] y lo que queda de los [Root.GetFactionName] continúa en otro lugar."
 country_capitulated.0.a:0 "¡Buenas noticias!"
 country_capitulated.0.b:0 "Estos son tiempos oscuros"
 country_capitulated.0.c:0 "Tiempos de incertidumbre"
 GAME_OVER_TT:0 "§REl juego termina para ti.§!"
 germany.85.b:0 "Esta no es nuestra guerra"
 germany.85.b_tt:0 "§YEsto se considerará una traición para todos los países que cumplen el pacto (§!§R-50§!§Y de opinión)§!"
 soviet.27_tt:0 "Aumenta la penalización por los §Yoficiales purgados§!"
 soviet.27_tt2:0 "§RDesembocará en una guerra civil§!"
 yugoslavia.7.t:0 "Destino de Yugoslavia"
 yugoslavia.7.d:0 "[From.GetNameDef] exige que les entreguemos el pleno control de nuestro país. Básicamente, todos los ciudadanos de Yugoslavia se convertirán en alemanes y ya no ejerceremos ninguna influencia. Podemos mantenernos firmes y confiar en que llegue la ayuda, pero esta podría ser la única forma de evitar que masacren al pueblo yugoslavo."
 yugoslavia.7.a:0 "Debemos mantenernos firmes"
 yugoslavia.7.b:0 "Se salvarán muchas vidas"
 germany.98_tt:0 "§YSi Yugoslavia acepta, sucederá lo siguiente:§!\n"
 germany.111.t:0 "Yugoslavia se niega"
 germany.111.d:0 "Los necios yugoslavos han rechazado nuestra oferta de resolver las tensiones en la región."
 germany.111.a:0 "Ellos nos han obligado"
 soviet.48.t:0 "La revolución permanente"
 soviet.48.d:0 "A pesar de que un sinfín de personas han sido ejecutadas y encarceladas por traidores y contrarrevolucionarios en los últimos años, gran parte de la cúpula ha permanecido a salvo. Sin embargo, ellos tampoco han estado libres de sospecha. Tras la creación de la Cuarta Internacional, Stalin parece obsesionado con la idea de que los más allegados a él nunca han estado realmente de su parte. Aquellos que intentan ganarse su confianza han alimentado esa idea para gozar de una posición más favorable.\n\nLa situación actual es realmente irónica: la desconfianza en la administración actual la ha vuelto insostenible, por lo que se avecina un golpe de estado. Algunos miembros del partido argumentan que reincorporar a Trotsky y volver las purgas en contra de los estalinistas podría minimizar los daños de la guerra civil que se producirá. ¿Podrá llevarse a cabo el plan, que ha sido el mayor temor del secretario general durante años?"
 soviet.48.a:0 "¡Es impensable!"
 soviet.48.a_tt:0 "§YPronto estallará una gigantesca guerra civil§!"
 soviet.48.b:0 "El comunismo en un país ha fracasado. Necesitamos a Trotsky."
 soviet.48.b_tt:0 "§YCuando Trotsky vuelva, estallará una pequeña guerra civil§!"
 soviet.49.t:0 "La Segunda Guerra Civil Rusa"
 soviet.49.d:0 "Con Stalin cada vez más paranoico, se ha producido una escisión entre el partido y el ejército. Los que han logrado ganarse su confianza (al menos temporalmente) quieren mantenerlo en el poder y proteger el culto que ha levantado en torno a su figura, mientras que muchos otros han quedado apartados extraoficialmente. Algunos de ellos creen que el gobierno de Stalin ha fracasado, otros sospechan que es cuestión de tiempo que el NKVD busque o se invente una excusa para detenerlos.\n\nJuntos han formado una facción con bastante poder como para desafiar a la administración actual. Su objetivo es el derrocamiento de la tiranía de Stalin y la transición a un estado totalitario bajo la supervisión de una junta de oficiales del ejército.\n\nLos partidarios de Stalin en el ejército y el partido se han reunido para mantener el régimen actual y proclamar a sus rivales como traidores contrarrevolucionarios. Se avecina una nueva guerra civil."
 soviet.49.a:0 "¡Muerte a los traidores!"
 soviet.50.t:0 "Ejército Ruso de Liberación fundado"
 soviet.50.d:0 "La fundación de la Cuarta Internacional ha reavivado el temor de Stalin de que haya traidores en el partido y el mando del ejército. Tras los juicios y ejecuciones de la Gran Purga, muchos sospechan que se avecina otra. Como respuesta, varios generales dirigidos por Andrey Vlasov han formado el Comité para la Liberación de los Pueblos de Rusia con el objetivo de derrocar el régimen de Stalin antes de que cause más daño.\n\nAunque el objetivo a largo plazo sea la transición a la democracia, aún no se ha concretado de qué forma. Lo único que tienen claro es quitarle el poder a Stalin y acabar con el gobierno de los bolcheviques."
